Year,Month,SE,CE,NE,NO,NW,CW,SW
2009,4,258.045059,253.6891022,244.590804,244.814974,247.3960502,250.5941623,257.5497467
2009,5,262.1869371,261.4223374,259.6167853,260.0265788,259.4920414,258.4627869,261.1443112
2009,6,267.903427,266.1732194,264.3458528,265.0876055,264.2798256,264.3704644,268.4153708
2009,7,270.7564441,269.3605081,268.5581758,270.5113944,268.7085013,267.6909626,271.1660008
2009,8,267.443858,265.1145981,262.6932812,265.2622955,264.5795953,263.4108126,268.4080047
2009,9,261.6,257.4406048,253.8293405,254.5973586,254.3591775,256.1007498,262.2624369
2009,10,255.8299965,249.9557047,246.2363079,246.8146684,248.9826292,249.6770047,257.0829167
2009,11,253.6308751,248.753517,240.7954993,243.0214536,242.3007129,245.5606891,251.5826016
2009,12,254.3313176,249.717809,243.9088613,246.6671267,248.4158781,248.0380165,254.7779213
2010,1,257.7811631,254.6473524,246.6585235,242.3902695,248.170235,252.6005982,257.2999803
2010,2,254.5606539,247.9192309,242.0510558,245.879055,247.6097562,248.1622727,256.2208918
2010,3,254.2056086,249.914753,239.8542063,240.8327238,245.730299,248.8079015,254.8669355
2010,4,257.2389084,251.9744164,247.4250717,249.9464205,249.5533407,250.9265275,258.6117055
2010,5,266.8048726,264.6052306,261.0715492,261.5168852,262.2602237,263.262713,267.7906587
2010,6,269.354198,268.3394531,267.4807294,268.6262834,268.4639751,267.5594378,270.0150294
2010,7,271.9604385,269.7988695,268.1886198,269.2819371,267.9757572,268.247915,272.1930582
2010,8,271.5478765,268.4302603,265.1574698,265.7038116,267.4455706,267.7658121,272.1031903
2010,9,266.66239,264.7872704,258.6510272,256.9511952,261.4743933,263.5399014,266.6010965
2010,10,259.630766,253.8297447,246.5412332,247.7825141,251.7334789,252.5635463,259.9078554
2010,11,253.8874719,248.6862977,245.8858991,249.5229199,252.303659,248.7878477,256.7992314
2010,12,256.4912974,250.4618053,246.0107946,248.2782039,248.7928339,249.6558872,258.0504704
2011,1,250.1575757,247.2880226,240.2392771,242.7012946,244.0682336,242.8172096,249.5715099
2011,2,252.4465005,249.5576939,242.4315656,241.195574,244.1458378,246.5548276,249.7956723
2011,3,247.376976,243.4224074,238.5656038,239.1847664,237.5329885,239.1480707,247.4142396
2011,4,254.9103471,253.1283514,246.2753135,242.739255,244.3932646,248.2467684,250.4677419
2011,5,260.5314544,258.6669127,257.5587573,259.5095171,258.9444141,256.8040005,260.2100778
2011,6,268.3280998,265.875555,265.3005506,267.7732345,266.3061438,265.220532,269.7237511
2011,7,271.1826967,269.8608241,268.9748061,271.4770048,270.3967164,269.650017,271.9640289
2011,8,268.2114839,265.6487526,264.0252969,266.1242534,265.2064192,264.2008564,269.8405068
2011,9,263.6025127,260.8902757,255.5312776,257.1318584,258.3016118,258.6066359,262.5129517
2011,10,255.6732185,253.0679394,246.3006191,246.6838165,247.6863689,248.2871476,254.2849101
2011,11,253.479051,251.0725884,245.7044842,244.2597808,244.2990415,246.1890442,250.4922776
2011,12,245.3841112,240.5197774,237.2816083,239.493719,238.1803502,236.1466496,247.2632473
2012,1,251.5896001,249.0349012,242.410176,240.7967804,242.9752755,244.7749063,249.2941836
2012,2,253.5618528,248.2338402,239.1444285,239.2743425,242.0547557,245.6213676,251.8024391
2012,3,254.4615342,251.3330778,243.0503439,241.8773675,244.0865198,247.5564323,251.74571
2012,4,260.5445922,255.2038971,247.1122048,246.8048204,250.8453152,255.7698731,261.7113698
2012,5,264.0952403,260.7632435,257.416932,258.2349922,260.0898795,260.9794136,265.4495046
2012,6,271.6910139,269.6259861,268.2709392,269.1021356,268.3625457,268.3930982,272.2083564
2012,7,272.5994661,270.5687785,269.6623069,271.1332364,270.2809881,269.7845791,273.2191896
2012,8,269.3734583,266.9500956,265.1957538,266.4827554,265.6876231,264.9452416,270.0472658
2012,9,262.9660377,258.1332842,254.6980613,258.0857888,257.6799062,256.3611231,264.7600309
2012,10,260.200457,254.4068219,248.7566414,251.0693119,251.482648,252.6887419,261.216274
2012,11,253.8007302,247.9142512,241.1887024,243.4828525,246.1839434,246.2376373,254.3186787
2012,12,253.511514,247.7001213,240.9426791,243.1965634,245.0171662,245.9918821,252.1872146
2013,1,254.0780251,247.6872099,240.4130284,241.5705424,243.9836801,246.2140819,252.6810311
2013,2,255.0512661,251.6767127,240.6369842,240.1093383,243.6705266,247.578633,251.1653798
2013,3,252.8646573,247.2709475,242.261001,244.872366,247.2190642,246.6433561,254.8551911
2013,4,254.2904565,250.7241929,245.9519796,247.0430934,249.4059264,248.7604463,254.8150052
2013,5,261.4163726,259.8345279,256.620563,255.9124987,255.5883742,257.0931012,259.9275566
2013,6,268.5352286,266.6457467,266.2240527,266.8477742,266.3251413,265.5074909,269.0636342
2013,7,269.9187185,268.4200917,267.5806821,268.5500138,267.7222171,267.170445,270.3088104
2013,8,267.5795343,265.504415,263.1859895,264.2874046,263.3538198,262.6285487,267.6258012
2013,9,261.9786107,259.2308499,258.3412302,257.867885,258.406646,257.2161118,263.6696767
2013,10,256.8462717,251.4291868,246.6981396,249.064525,250.3443205,249.9296,258.2704389
2013,11,253.1388208,245.9825782,237.2761958,238.5623805,240.9917165,244.6486719,254.3402162
2013,12,247.9666624,244.6232327,239.3419321,240.5559177,241.3635642,240.449576,247.2948777
2014,1,253.5380064,250.5005694,242.727899,244.8584874,247.6749778,248.3088901,251.3733211
2014,2,252.3993947,245.8879115,237.2757148,239.1765682,243.0953651,244.7040462,250.899289
2014,3,251.1236905,247.4592843,240.2364611,239.7741257,240.398066,242.8217762,249.4548292
2014,4,258.4480394,254.8848128,247.5706754,245.2035569,248.6107112,251.9706968,255.8073109
2014,5,263.5331511,259.9596347,255.9274818,257.0027947,256.6103566,257.7480212,263.2317279
2014,6,268.7687623,267.6267307,267.1202657,267.6011685,267.1348207,265.9774956,269.490009
2014,7,270.5628675,268.2886177,268.810425,270.1252171,269.0205252,267.3544728,271.257203
2014,8,269.8176697,266.1708797,264.1376774,265.8997621,264.6164591,264.2283302,270.1087897
2014,9,263.7073201,260.3933761,255.2153262,254.5838107,258.098505,259.9338031,264.2047482
2014,10,255.1106392,252.602095,248.5584484,250.1297531,249.8404713,248.5527579,255.8424442
2014,11,255.1984855,252.7291038,246.4688713,247.3657938,248.7417059,249.6716898,253.2675357
2014,12,249.8827646,246.2356316,238.652918,238.1999942,241.0691935,243.263612,248.8371073
2015,1,248.8882944,247.7154985,241.7183087,241.9475633,242.5506765,242.444325,244.9767664
2015,2,246.2719404,242.1858903,234.0493598,234.5931096,233.5524167,235.7349649,244.8510321
2015,3,251.8157622,247.5798938,241.0369111,241.3176618,243.7122168,243.9236467,249.0514176
2015,4,255.6384572,251.6454738,245.1659702,243.8159835,245.9655554,249.0520835,255.3407848
2015,5,261.1902426,258.736337,256.1559981,256.6899748,258.178382,258.5191676,260.8014378
2015,6,267.7888011,266.6120678,266.1548012,267.3199112,266.2883305,264.9550825,268.2561478
2015,7,270.9373063,269.5364685,270.0912462,272.1116505,270.0915436,268.6745344,271.0337473
2015,8,268.4144023,266.3950636,263.2291538,264.90816,263.7788415,263.6371936,267.8786721
2015,9,264.8933535,262.3248406,256.39242,256.0138183,257.8958642,260.7747993,264.5327953
2015,10,257.473178,253.2147803,248.4917602,250.7277951,252.3862695,251.5413291,256.6605707
2015,11,253.1320861,248.5887362,242.8061154,243.4833594,243.100297,243.4810253,250.1508482
2015,12,250.438637,245.2635485,236.5456411,237.6571152,238.8298859,240.2984828,246.7783724
2016,1,253.134471,248.7916382,244.5168523,246.1652527,246.7941754,246.6975143,252.4824407
2016,2,251.5869689,245.0650853,237.4028347,239.9442078,243.2803029,244.7523681,251.1625741
2016,3,254.9208742,251.4248879,244.3105248,242.988358,248.2528028,249.6320374,254.1957327
2016,4,262.2767929,257.4185767,252.2761881,253.1217911,256.4414147,257.5490366,263.3330489
2016,5,263.7389931,261.8775492,258.5225243,259.4593842,260.3037503,260.6309051,264.0621615
2016,6,270.4111197,268.3920828,266.3182114,267.6882716,266.2866137,266.9086473,270.7713794
2016,7,270.8069895,269.015921,268.6995384,270.3246064,268.9449045,267.7460131,271.3615351
2016,8,269.8764423,266.4972342,264.5759437,266.4363344,265.827706,265.400218,270.9952422
2016,9,263.0859657,260.0767401,255.6403748,257.9523327,257.5709231,257.915101,262.8034963
2016,10,260.4559277,260.1043627,254.8210359,251.1470957,253.3297239,255.987812,257.8815869
2016,11,254.2123843,251.0059242,246.9501146,248.3713798,247.3622688,246.410834,254.8307442
2016,12,252.329814,249.5780366,241.4805878,241.718007,243.3493613,245.5209976,250.2013799
2017,1,250.9461825,246.2491548,236.8817325,235.7536968,240.2358894,244.4427902,251.0526753
2017,2,254.7782126,251.3108834,242.2636453,240.6338053,243.5882536,247.1971283,251.1765654
2017,3,251.4092626,246.8282257,240.3395161,240.848762,243.9890676,244.8684083,251.2445104
2017,4,255.676629,251.1547239,245.3438329,247.2203149,248.3013381,249.0365721,255.0298264
2017,5,266.512606,264.0238478,260.5451054,260.2348306,261.7415593,262.8645168,266.6441798
2017,6,267.7620484,266.5355006,266.3314864,267.1795901,266.1902954,265.3412598,268.2088211
2017,7,268.7613721,266.9956363,266.7313236,269.2001227,266.833346,264.9143401,269.341361
2017,8,268.7970767,266.049862,265.148785,266.0170667,265.3691753,264.2157714,269.7192465
2017,9,264.2813056,262.6795425,257.8776544,257.0531353,258.6767821,259.2891614,263.2320555
2017,10,261.5234452,259.133405,252.9405359,252.5051724,255.4745633,256.6419057,260.3298341
2017,11,252.6962455,249.1338025,243.1068399,243.6158696,245.7496036,246.1037389,254.4886398
2017,12,250.7075705,244.797326,240.7822467,244.6219466,245.9170536,244.2290242,252.795708
2018,1,251.2675938,247.8843293,238.4412145,238.5002327,241.9412421,244.2003501,248.0761337
