,,,,,,,,,,,,,,,,,,,,,,,
Short Date (month : year),NO,Error,NE,Error,CE,Error,SE,Error,SW,Error,CW,,NW,,Overall_mass_change,,,,,,,,
 Feb  : 07,1.15E+02,,2.95E+01,,1.93E+02,,1.64E+02,,2.71E+02,,1.40E+02,,2.55E+02,,1.17E+03,,,,,,,,
 Mar  : 07,1.14E+02,,5.12E+01,,1.93E+02,,1.63E+02,,3.04E+02,,1.36E+02,,2.33E+02,,1.19E+03,,,,,,,,
 Apr  : 07,1.27E+02,,2.54E+01,,2.27E+02,,1.56E+02,,3.16E+02,,1.31E+02,,2.32E+02,,1.21E+03,,,,,,,,
 May  : 07,1.18E+02,,4.63E+01,,1.87E+02,,1.76E+02,,3.10E+02,,1.46E+02,,2.20E+02,,1.20E+03,,,,,,,,
 Jun  : 07,1.18E+02,,3.03E+01,,1.99E+02,,1.81E+02,,2.76E+02,,1.36E+02,,2.26E+02,,1.17E+03,,,,,,,,
 Jul  : 07,1.10E+02,,1.91E+01,,1.70E+02,,1.27E+02,,2.52E+02,,1.13E+02,,2.13E+02,,1.00E+03,,,,,,,,
 Aug  : 07,9.09E+01,,3.88E+01,,9.60E+01,,1.14E+02,,2.20E+02,,1.10E+02,,1.91E+02,,8.60E+02,,,,,,,,
 Sep  : 07,1.04E+02,,2.45E+01,,7.22E+01,,1.01E+02,,2.15E+02,,1.10E+02,,1.74E+02,,8.00E+02,,,,,,,,
 Oct  : 07,1.04E+02,,1.79E+01,,9.58E+01,,1.03E+02,,1.83E+02,,9.69E+01,,1.73E+02,,7.75E+02,,,,,,,,
 Nov  : 07,9.54E+01,,1.07E+01,,8.59E+01,,1.27E+02,,1.82E+02,,1.08E+02,,1.70E+02,,7.78E+02,,,,,,,,
 Dec  : 07,1.03E+02,,1.50E+01,,8.45E+01,,1.23E+02,,2.10E+02,,1.12E+02,,1.80E+02,,8.27E+02,,,,,,,,
 Jan  : 08,1.05E+02,,1.72E+01,,1.19E+02,,1.14E+02,,2.35E+02,,1.11E+02,,1.68E+02,,8.69E+02,,,,,,,,
 Feb  : 08,1.04E+02,,3.23E+01,,1.28E+02,,1.27E+02,,2.47E+02,,1.08E+02,,1.79E+02,,9.26E+02,,,,,,,,
 Mar  : 08,1.10E+02,,2.72E+01,,1.63E+02,,1.64E+02,,2.04E+02,,1.03E+02,,1.84E+02,,9.56E+02,,,,,,,,
 Apr  : 08,1.01E+02,,3.69E+01,,1.53E+02,,1.22E+02,,2.55E+02,,9.66E+01,,1.57E+02,,9.22E+02,,,,,,,,
 May  : 08,8.13E+01,,5.16E+01,,1.64E+02,,1.15E+02,,2.24E+02,,9.20E+01,,1.40E+02,,8.68E+02,,,,,,,,
 Jun  : 08,8.51E+01,,3.71E+01,,1.73E+02,,9.55E+01,,2.45E+02,,9.35E+01,,1.44E+02,,8.73E+02,,,,,,,,
 Jul  : 08,6.83E+01,,1.21E+01,,1.33E+02,,1.13E+02,,1.93E+02,,9.51E+01,,1.45E+02,,7.60E+02,,,,,,,,
 Aug  : 08,4.27E+01,,9.26E+00,,1.07E+02,,7.86E+01,,1.38E+02,,7.63E+01,,1.28E+02,,5.80E+02,,,,,,,,
 Sep  : 08,4.02E+01,,-1.16E+01,,1.18E+02,,5.80E+01,,1.20E+02,,6.99E+01,,1.26E+02,,5.20E+02,,,,,,,,
 Oct  : 08,3.55E+01,,8.18E+00,,1.01E+02,,6.47E+01,,1.16E+02,,7.82E+01,,1.03E+02,,5.06E+02,,,,,,,,
 Nov  : 08,3.48E+01,,2.50E+01,,1.19E+02,,5.30E+01,,1.71E+02,,8.17E+01,,1.02E+02,,5.87E+02,,,,,,,,
 Dec  : 08,4.26E+01,,2.18E+01,,1.30E+02,,1.40E+02,,1.37E+02,,8.10E+01,,1.11E+02,,6.63E+02,,,,,,,,
 Jan  : 09,4.97E+01,,1.57E+01,,1.58E+02,,8.23E+01,,2.15E+02,,1.08E+02,,1.25E+02,,7.53E+02,,,,,,,,
 Feb  : 09,4.52E+01,,-5.92E+00,,1.22E+02,,1.15E+02,,1.91E+02,,1.04E+02,,1.05E+02,,6.76E+02,,,,,,,,
 Mar  : 09,3.59E+01,,1.44E+01,,1.43E+02,,1.08E+02,,1.90E+02,,7.66E+01,,9.08E+01,,6.58E+02,,,,,,,,
 Apr  : 09,3.98E+01,,5.27E+00,,1.29E+02,,8.87E+01,,2.03E+02,,7.83E+01,,9.59E+01,,6.39E+02,,,,,,,,
 May  : 09,3.76E+01,,7.47E+00,,1.64E+02,,8.57E+01,,2.47E+02,,7.85E+01,,7.89E+01,,6.99E+02,,,,,,,,
 Jun  : 09,5.74E+01,,-1.62E+00,,1.44E+02,,8.00E+01,,2.45E+02,,8.09E+01,,1.00E+02,,7.06E+02,,,,,,,,
 Jul  : 09,4.35E+01,,8.81E+00,,1.57E+02,,1.14E+02,,1.65E+02,,4.29E+01,,8.74E+01,,6.18E+02,,,,,,,,
 Aug  : 09,1.40E+01,,-7.32E+00,,7.98E+01,,4.75E+01,,1.42E+02,,4.31E+01,,3.85E+01,,3.57E+02,,,,,,,,
 Sep  : 09,1.37E+01,,-6.52E+00,,5.07E+01,,4.39E+01,,1.23E+02,,4.65E+01,,4.29E+01,,3.14E+02,,,,,,,,
 Oct  : 09,1.24E+01,,-2.01E+00,,8.75E+01,,3.10E+01,,1.44E+02,,5.51E+01,,4.16E+01,,3.70E+02,,,,,,,,
 Nov  : 09,7.22E+00,,2.89E+01,,1.25E+02,,5.64E+01,,1.03E+02,,3.21E+01,,2.17E+01,,3.74E+02,,,,,,,,
 Dec  : 09,2.30E+01,,1.49E+01,,1.12E+02,,9.10E+01,,1.25E+02,,2.95E+01,,3.69E+01,,4.33E+02,,,,,,,,
 Jan  : 10,1.57E+01,,7.27E+00,,8.48E+01,,9.17E+01,,1.28E+02,,5.83E+01,,5.30E+01,,4.38E+02,,,,,,,,
 Feb  : 10,9.25E+00,,-3.65E+00,,1.20E+02,,5.50E+01,,1.64E+02,,3.10E+01,,4.46E+01,,4.21E+02,,,,,,,,
 Mar  : 10,1.11E+01,,2.44E+00,,8.84E+01,,8.05E+01,,1.73E+02,,7.12E+01,,3.02E+01,,4.57E+02,,,,,,,,
 Apr  : 10,9.17E+00,,9.75E+00,,1.22E+02,,6.70E+01,,1.82E+02,,4.78E+01,,2.32E+01,,4.60E+02,,,,,,,,
 May  : 10,2.81E+01,,-9.29E+00,,7.71E+01,,9.72E+01,,1.67E+02,,7.66E+01,,3.54E+01,,4.72E+02,,,,,,,,
 Jun  : 10,3.16E+01,,-2.90E+00,,8.45E+01,,8.92E+01,,1.29E+02,,2.38E+01,,1.78E+01,,3.72E+02,,,,,,,,
 Jul  : 10,-1.17E+01,,-1.27E+00,,6.74E+01,,1.73E+01,,7.17E+01,,7.68E+00,,-5.28000000E+00,,1.46E+02,,,,,,,,
 Aug  : 10,-1.81E+01,,-2.17E+01,,-5.32E-01,,9.30E+00,,1.11E+01,,-9.71E-01,,-1.59000000E+01,,-3.69000000E+01,,,,,,,,
 Sep  : 10,-1.94E+01,,-1.83E+01,,5.60E+00,,1.17E+00,,-5.45E+01,,-1.65E+01,,-1.67000000E+01,,-1.18000000E+02,,,,,,,,
