Date,sw_grace_gt_month,sw_grace_diff_gt_month,sw_avg_ice_disch_gt_month,sw_runoff_gt_month,sw_sum_ppt_gt_each_month,sw_monthly_avg_temp_2m_K,sw_total_ice_loss_gt_month,sw_ice_discharge_percent,sw_grace_diffs_gt_month
2013-09-30,,,1.5829073347692306,1.697209934,22.03727474,263.6696767,-3.2801172687692306,48.257644622662255,
2013-10-31,-305.0,-75.0,1.6134926419166666,0.170083117,10.66449587,258.2704389,-1.7835757589166668,90.46392528325752,83.88092011108333
2013-11-30,-259.0,46.0,1.5942311772222222,0.107713989,21.72642115,254.3402162,-1.7019451662222222,93.67112459685814,-25.975524016222224
2013-12-31,-243.0,16.0,1.65185994955,0.080158226,3.608645627,247.2948777,-1.73201817555,95.3719754716462,-14.12337254855
2014-01-31,-295.0,-52.0,1.6861993155,0.067572471,6.405279983,251.3733211,-1.7537717865,96.14702029533419,56.651508196500004
2014-02-28,,,1.5274888034375,0.052430567,2.916542404,250.899289,-1.5799193704375,96.68144033290247,
2014-03-31,-212.0,83.0,1.686966846375,0.054993136,6.465021347,249.4548292,-1.741959982375,96.8430310365097,-78.276938635375
2014-04-30,-237.0,-25.0,1.6496795035,0.065440044,10.28487835,255.8073109,-1.7151195475,96.18451995982514,33.5697588025
2014-05-31,-220.0,17.0,1.7299048178235292,0.633202776,8.192124032,263.2317279,-2.3631075938235293,73.20465739033607,-11.17098356182353
2014-06-30,-254.0,-34.0,1.6857492353703705,12.74896999,12.21158464,269.490009,-14.43471922537037,11.678434537247586,31.77686541462963
2014-07-31,,,1.6265354103333334,38.38116329,4.621419693,271.257203,-40.007698700333336,4.065556038392634,
2014-08-31,-376.0,-122.0,1.5528862693478263,31.7510472,11.04870867,270.1087897,-33.303933469347825,4.662771353351,99.74477520065217
2014-09-30,-338.0,38.0,1.4932354192727273,4.099310401,24.48343025,264.2047482,-5.592545820272727,26.700459276700357,-19.109115570272728
2014-10-31,-358.0,-20.0,1.5492147951818183,0.167192121,6.648441292,255.8424442,-1.7164069161818183,90.25917925267265,24.932034375818183
2014-11-30,-335.0,23.0,1.4887218028571427,0.093625687,6.035614188,253.2675357,-1.5823474898571428,94.08311463821055,-18.54673330185714
2014-12-31,,,1.5682362739047617,0.086384776,14.42839144,248.8371073,-1.6546210499047618,94.77918064653097,
2015-01-31,-427.0,-92.0,1.5988180460625,0.063901443,6.961865337,244.9767664,-1.6627194890625001,96.15681157162416,97.2991458479375
2015-02-28,-322.0,105.0,1.4648764442352942,0.094443147,12.69019409,244.8510321,-1.5593195912352942,93.94331043290606,-93.86912550123529
2015-03-31,-308.0,14.0,1.6661102234444443,0.050705032,5.056226177,249.0514176,-1.7168152554444442,97.04656445478325,-10.660589078444444
2015-04-30,-327.0,-19.0,1.6281550468125,0.055812225,8.496382636,255.3407848,-1.6839672718124998,96.68567044418104,25.8124153641875
2015-05-31,,,1.720252832375,0.191023889,9.800897979,260.8014378,-1.911276721375,90.00543004246006,
2015-06-30,,,1.7110246305454546,7.109288949,7.483942308,268.2561478,-8.820313579545454,19.39868254245934,
2015-07-31,-342.0,-15.0,1.7126217877083334,32.60251166,3.51873677,271.0337473,-34.315133447708334,4.9908644252196765,-15.79639667770833
2015-08-31,-358.0,-16.0,1.6599238876428573,14.00792966,13.96019461,267.8786721,-15.667853547642858,10.594456238663168,14.292341062357142
2015-09-30,-382.0,-24.0,1.5439031582272726,5.081738742,19.36318713,264.5327953,-6.625641900227272,23.30194087571068,36.73754522977273
2015-10-31,,,1.5793708075882353,0.399074405,15.26637439,256.6605707,-1.9784452125882352,79.82888773159789,
2015-11-30,,,1.551231668,0.100379812,7.281633306,250.1508482,-1.65161148,93.92231083305379,
2015-12-31,-367.0,15.0,1.6217396865000002,0.075590146,4.218134424,246.7783724,-1.6973298325000001,95.54652581056311,-12.4791954085
2016-01-31,-331.0,36.0,1.6310013454705883,0.061176416,3.734668983,252.4824407,-1.6921777614705882,96.38475239463999,-33.95750877847059
2016-02-29,-333.0,-2.0,1.538620215,0.050519523,5.884224664,251.1625741,-1.5891397379999999,96.82095150023868,6.295084926
2016-03-31,-304.0,29.0,1.6646308909285714,0.062809415,7.030652109,254.1957327,-1.7274403059285715,96.36401820749242,-23.696788196928573
