Date,CE,CW,NE,NO,NW,SE,SW,,,,,,,,,
9/15/1990,5.192180217,5.505061163,1.805996988,1.880546228,8.468725701,10.41323916,1.802878803,,8/15/1990,6.579546258,5.635932875,1.84896042,1.857940887,8.682889039,10.69492658,1.859097903
10/15/1990,6.034900898,5.693716862,1.878156022,1.943482795,8.728048641,10.91672731,1.866726563,,9/15/1990,5.192180217,5.505061163,1.805996988,1.880546228,8.468725701,10.41323916,1.802878803
1/1/1991,5.759474031,5.707116379,1.910161358,1.944137198,8.409025658,10.90247576,1.876481245,,10/15/1990,6.034900898,5.693716862,1.878156022,1.943482795,8.728048641,10.91672731,1.866726563
6/15/1991,5.732910482,5.550446623,1.914062857,1.882762752,8.075030616,10.62414571,1.835918853,,1/1/1991,5.759474031,5.707116379,1.910161358,1.944137198,8.409025658,10.90247576,1.876481245
1/1/1992,6.122070625,5.699158762,1.934426246,1.879580812,7.99668499,11.03738613,1.839612196,,6/15/1991,5.732910482,5.550446623,1.914062857,1.882762752,8.075030616,10.62414571,1.835918853
6/15/1992,5.95704123,5.555942795,1.910275233,1.860193632,7.806504655,10.71090748,1.797995161,,1/1/1992,6.122070625,5.699158762,1.934426246,1.879580812,7.99668499,11.03738613,1.839612196
7/15/1992,6.161587138,5.74872802,1.981094115,1.929902365,8.079686935,11.28122264,1.877607719,,6/15/1992,5.95704123,5.555942795,1.910275233,1.860193632,7.806504655,10.71090748,1.797995161
8/15/1992,6.167764267,5.756568055,1.988475258,1.937861385,8.093084576,11.20867939,1.691904985,,7/15/1992,6.161587138,5.74872802,1.981094115,1.929902365,8.079686935,11.28122264,1.877607719
9/15/1992,5.974781997,5.578459443,1.931473936,1.883052007,7.84498279,10.83394887,1.681486105,,8/15/1992,6.167764267,5.756568055,1.988475258,1.937861385,8.093084576,11.20867939,1.691904985
10/15/1992,6.179919264,5.771995222,2.002999442,1.953522685,8.119447675,11.18324804,1.769486849,,9/15/1992,5.974781997,5.578459443,1.931473936,1.883052007,7.84498279,10.83394887,1.681486105
1/1/1993,6.200078405,5.66110931,2.027109901,1.987976778,8.088620644,11.1579507,1.74580461,,10/15/1992,6.179919264,5.771995222,2.002999442,1.953522685,8.119447675,11.18324804,1.769486849
3/15/1993,6.205683048,5.671554859,2.047641143,1.978409439,8.112492845,11.16868604,1.766309531,,1/1/1993,6.200078405,5.66110931,2.027109901,1.987976778,8.088620644,11.1579507,1.74580461
4/15/1993,6.007647354,5.492894168,1.9900257,1.910657996,7.860994161,10.82248323,1.687966339,,3/15/1993,6.205683048,5.671554859,2.047641143,1.978409439,8.112492845,11.16868604,1.766309531
5/15/1993,6.210049896,5.680283332,2.064797388,1.970414813,8.133221932,11.20324717,1.749850656,,4/15/1993,6.007647354,5.492894168,1.9900257,1.910657996,7.860994161,10.82248323,1.687966339
6/15/1993,6.011873337,5.501341077,2.006628517,1.902921261,7.881054567,10.86186658,1.616034598,,5/15/1993,6.210049896,5.680283332,2.064797388,1.970414813,8.133221932,11.20324717,1.749850656
7/15/1993,6.214416744,5.689011804,2.081953631,1.962420187,8.153951019,11.24394329,1.683550792,,6/15/1993,6.011873337,5.501341077,2.006628517,1.902921261,7.881054567,10.86186658,1.616034598
8/15/1993,6.216635962,5.693447585,2.090672378,1.958357344,8.164485473,11.26462494,1.610495483,,7/15/1993,6.214416744,5.689011804,2.081953631,1.962420187,8.153951019,11.24394329,1.683550792
9/15/1993,6.018246948,5.514080677,2.03166883,1.891252744,7.911309606,10.92126443,1.536623192,,8/15/1993,6.216635962,5.693447585,2.090672378,1.958357344,8.164485473,11.26462494,1.610495483
1/1/1994,6.142635271,5.706320484,2.119417382,1.944586986,8.16433231,11.35801714,1.557338268,,9/15/1993,6.018246948,5.514080677,2.03166883,1.891252744,7.911309606,10.92126443,1.536623192
5/15/1994,5.951071537,5.650447224,2.145676425,1.958201972,8.119059396,11.41303589,1.543076404,,1/1/1994,6.142635271,5.706320484,2.119417382,1.944586986,8.16433231,11.35801714,1.557338268
6/15/1994,5.724506017,5.525076451,1.932294727,1.969397648,7.538633458,11.10888862,1.490106791,,5/15/1994,5.951071537,5.650447224,2.145676425,1.958201972,8.119059396,11.41303589,1.543076404
7/15/1994,6.051544703,6.688179883,1.971295628,2.068063078,7.967066254,11.6273808,1.5335958,,6/15/1994,5.724506017,5.525076451,1.932294727,1.969397648,7.538633458,11.10888862,1.490106791
8/15/1994,5.622156699,6.743032211,1.954989844,2.238102832,7.695723805,11.78051654,1.527208542,,7/15/1994,6.051544703,6.688179883,1.971295628,2.068063078,7.967066254,11.6273808,1.5335958
9/15/1994,5.130294935,5.076245379,1.884877512,2.237831395,7.665567922,11.45488684,1.433831079,,8/15/1994,5.622156699,6.743032211,1.954989844,2.238102832,7.695723805,11.78051654,1.527208542
1/1/1995,5.214391352,5.223859326,1.925920978,2.281871269,7.855622197,11.7650498,1.502992543,,9/15/1994,5.130294935,5.076245379,1.884877512,2.237831395,7.665567922,11.45488684,1.433831079
4/15/1995,5.095113842,5.160190821,1.833876922,2.16157621,7.532738315,11.32371538,1.51804821,,1/1/1995,5.214391352,5.223859326,1.925920978,2.281871269,7.855622197,11.7650498,1.502992543
5/15/1995,5.279535476,5.363448486,1.886088415,2.219830047,7.769043409,11.68274643,1.568338069,,4/15/1995,5.095113842,5.160190821,1.833876922,2.16157621,7.532738315,11.32371538,1.51804821
6/15/1995,5.123812385,5.221685323,1.816329115,2.134423923,7.503642921,11.28745752,1.513015084,,5/15/1995,5.279535476,5.363448486,1.886088415,2.219830047,7.769043409,11.68274643,1.568338069
7/15/1995,5.309190637,5.426992805,1.867955681,2.191772685,7.738978168,11.64527997,1.522822071,,6/15/1995,5.123812385,5.221685323,1.816329115,2.134423923,7.503642921,11.28745752,1.513015084
8/15/1995,5.322928635,5.460102109,1.85881835,2.177022399,7.723742544,11.60982829,1.519790664,,7/15/1995,5.309190637,5.426992805,1.867955681,2.191772685,7.738978168,11.64527997,1.522822071
9/15/1995,5.162929142,5.316997738,1.790104945,2.091955297,7.459908497,11.19926762,1.482836298,,8/15/1995,5.322928635,5.460102109,1.85881835,2.177022399,7.723742544,11.60982829,1.519790664
