,sw_grace_gt_month,sw_grace_diff_gt_month,sw_avg_ice_disch_gt_month,sw_runoff_gt_month,sw_sum_ppt_gt_each_month,sw_monthly_avg_temp_2m_K,sw_total_ice_loss_gt_month,sw_ice_discharge_percent,sw_grace_diffs_gt_month
2011-09-30,-150.0,-20.0,1.5934935992142858,1.366276057,11.58913604,262.5129517,-2.9726700590000004,54.038758762901104,28.616465980999997
2011-10-31,-129.0,21.0,1.66468334225,0.110599697,5.717871999,254.2849101,,,
2011-11-30,,,1.6340925245833333,0.13439808,7.762811348,250.4922776,,,
2011-12-31,-96.4,32.599999999999994,1.7041763401666667,0.060731288,9.287040469,247.2632473,-1.757227783,96.54391487617403,-25.070187313999995
2012-01-31,-130.0,-33.599999999999994,1.7239502566666667,0.051421377,7.217601427,249.2941836,,,
2012-02-29,-148.0,-18.0,1.6277675426470588,0.086631175,12.16499099,251.8024391,,,
2012-03-31,-83.4,64.6,1.7468486464000001,0.085686389,12.18035034,251.74571,-1.835569667,95.33189120846373,-54.25521932699999
2012-04-30,-67.8,15.600000000000009,1.637807106375,0.636857581,17.80900232,261.7113698,-2.29323816,72.2288948392521,-0.08423584000000872
2012-05-31,,,1.7003551149333334,2.661729274,11.61831058,265.4495046,-4.349312663,38.801151348727494,
2012-06-30,-97.2,-29.400000000000006,1.6916799985714286,34.76517104,4.380803006,272.2083564,,,
2012-07-31,-145.0,-47.8,1.6638982371333335,70.84544248,16.68818285,273.2191896,,,
2012-08-31,-289.0,-144.0,1.5513456951578946,33.40736831,12.0836856,270.0472658,,,
2012-09-30,-330.0,-41.0,1.490626476076923,4.472673839,24.9929248,264.7600309,-5.957352315,24.921783998937457,60.035572485
2012-10-31,,,1.5958468556666667,1.273717908,19.72333444,261.216274,,,
2012-11-30,-316.0,14.0,1.5647147171875,0.349144977,16.01288483,254.3186787,,,
2012-12-31,-279.0,37.0,1.6270909754545455,0.126973102,6.030074571,252.1872146,-1.749344735,92.74167638547242,-32.719270164
2013-01-31,-273.0,6.0,1.6443666040833333,0.09037636,5.484188153,252.6810311,-1.72970102,94.77502996442702,-2.2455128669999995
2013-02-28,-250.0,23.0,1.4966043163125,0.064413907,6.291737846,251.1653798,,,
2013-03-31,,,1.6621642766470588,0.101342926,3.792162395,254.8551911,-1.763125018,94.25208507817793,
2013-04-30,-298.0,-48.0,1.5961875134285715,0.142697424,7.448797657,254.8150052,,,
