Year,Month,SE,CE,NE,NO,NW,CW,SW
2008,11,16.32442825,14.09232239,4.534232861,1.68590371,2.919604555,14.32994519,32.63685891
2008,12,23.56651523,18.62525342,10.85382101,1.46788455,5.69394996,8.691649616,11.58893701
2009,1,23.03027066,11.08115373,3.47866932,1.637234857,3.214798831,2.883012196,3.98366227
2009,2,19.56837835,7.650278182,1.799705068,1.177695073,2.23987896,2.456242721,3.217816942
2009,3,12.24969148,7.098906906,2.404421058,1.442214856,2.393280531,3.030501081,4.451839355
2009,4,19.12515619,15.14068131,2.587138323,1.225270236,2.672353536,6.526199252,10.48268922
2009,5,18.01056291,13.09031271,6.258597988,4.93010758,5.601703364,3.696280369,5.844914247
2009,6,10.17589576,4.206102787,8.447823096,3.895136681,7.725649677,8.823700691,11.22856899
2009,7,9.568042594,13.84485356,9.177712056,2.305293542,4.010305548,6.345390774,3.896144596
2009,8,9.094591676,10.65791848,6.958067709,1.022744859,2.091119665,1.679364615,5.0503535
2009,9,12.36011642,9.446033057,9.978418969,6.00692462,9.517015074,12.05971946,16.27757398
2009,10,16.16372799,11.28089257,4.055211834,2.429419766,7.375720986,8.475688336,9.044640714
2009,11,16.75306999,7.811787551,2.760791345,2.15119398,2.749551754,4.747139293,5.600735285
2009,12,33.7243118,10.39512401,3.760049609,3.055566457,12.3333392,5.857312107,5.420024671
2010,1,26.47566534,19.52114715,3.713352964,2.523335369,13.81154484,13.94511314,9.152994339
2010,2,22.91790835,2.061034493,1.676613141,1.833731913,6.096887568,8.778465395,3.877281144
2010,3,13.65065789,7.433396245,2.174133997,0.4938046109,1.774457999,6.182311223,6.300184229
2010,4,3.517810858,2.95714609,3.943298594,4.706400208,5.474432744,4.268265654,5.934143539
2010,5,9.203553945,5.161933324,10.83645075,4.823894675,10.11141074,12.08433904,10.77303538
2010,6,17.03350811,6.544285973,6.50006417,2.592990744,8.840416784,9.83480603,9.060023725
2010,7,5.171748386,3.13977793,3.150418776,6.638893817,12.90094069,7.085706507,6.83556699
2010,8,10.94246415,9.287892208,5.977193879,8.253443669,23.23378336,12.25890091,17.85400532
2010,9,33.87106809,33.38047878,8.548896681,1.91724343,7.227931819,12.53457227,8.943322136
2010,10,26.59923863,9.357863319,3.987528619,3.0296347,8.91223798,5.398922035,5.927903366
2010,11,10.06038895,1.390274331,1.506519019,3.824616854,15.55510185,7.938765036,11.1723022
2010,12,10.78902198,5.851693109,4.8274838,3.896862425,13.42755046,18.43173488,18.26357754
2011,1,8.049416082,8.633739819,3.262322422,3.042377571,11.19416126,6.952412912,6.168034855
2011,2,30.0631326,22.17750825,6.078806207,1.020526072,2.023471631,3.737304244,6.25252225
2011,3,6.761247863,7.019761297,5.784712434,3.580710034,2.272176549,6.886828865,6.375526442
2011,4,18.25097536,21.45359421,7.394639961,1.618776755,1.847358982,5.221461284,5.269508377
2011,5,7.994338915,6.510429608,7.324113251,5.47021595,7.623965665,2.887707985,5.49975287
2011,6,3.823434802,3.139333199,3.452034591,4.261943049,7.631848349,4.403683422,5.477724737
2011,7,16.77964196,6.216576286,6.335140307,3.273680097,13.63867543,8.76876685,13.12742676
2011,8,7.572277233,3.56196926,9.245686452,6.442028506,10.09581381,9.090342081,10.97724731
2011,9,15.12567176,17.11032103,4.049804091,2.643894922,12.16411072,7.743088238,11.58913604
2011,10,6.031728251,14.12193729,7.579470393,3.846063339,9.873245147,7.53700067,5.717871999
2011,11,19.28491861,23.51439749,5.892859939,3.357343452,4.622857315,6.864420485,7.762811348
2011,12,8.892769986,7.406854379,9.923529268,1.319324467,1.575001801,2.882846337,9.287040469
2012,1,22.05493292,15.5600215,11.01398496,1.092881559,2.891899482,5.59655919,7.217601427
2012,2,18.3673484,10.16217139,3.007258774,1.652785979,4.796814211,9.109517168,12.16499099
